वृत्त,पाद,गण,लक्षण,अक्षरसङ्ख्या,मात्रा,यति
कुपुरुषजनिता,,ननरगग,ललललललगलगगग,11,15,
अनवसिता,,नयभगग,ललललगगगललगग,11,16,
विध्वङ्कमाला,,तततगग,गगलगगलगगलगग,11,19,
सान्द्रपद,,भतनगल,गललगगललललगल,11,15,
प्रियंवदा,,नभजर,लललगलललगलगलग,12,16,
ललना,,भमसस,गललगगगललगललग,12,18,"5,7"
ललित,,ननमर,ललललललगगगगलग,12,17,
द्रुतपद,,नभनय,लललगललललललगग,12,15,
विद्याधार,,मममम,गगगगगगगगगगगग,12,24,
सारङ्ग,,तततत,गगलगगलगगलगगल,12,20,
मोटक,,भभभभ,गललगललगललगलल,12,16,
तरलनयन,,नननन,लललललललललललल,12,12,
चण्डी,,ननससग,ललललललललगललगग,13,16,
मृगेन्द्रमुख,,नजजरग,ललललगललगलगलगग,13,18,
मञ्जुहासिनी,,जतसजग,लगलगगलललगलगलग,13,19,
कुटजगति,,नजमतग,ललललगलगगगगगलग,13,20,"7,6"
लोला,,मसमभगग,गगगललगगगगगललगग,14,24,"7,7"
नान्दीमुखी,,ननततगग,ललललललगगलगगलगग,14,20,"7,7"
नदी २,,ननतजगग,ललललललगगललगलगग,14,19,"7,7"
"इन्दुवदना, वनमयूर",,भजसनगग,गलललगलललगलललगग,14,19,"9,5"
लक्ष्मी,,मसतभगग,गगगललगगगलगललगग,14,23,
सुपवित्र,,ननननगग,ललललललललललललगग,14,16,
कुटिल,,सभनयगग,ललगगललललललगगगग,14,20,"4,10"
कुमारी,,नजभजगग,ललललगलगलललगलगग,14,19,"8,6"
सुकेसर,,नरनरलग,लललगलगलललगलगलग,14,19,
चन्द्रौरस,,मभनयलग,गगगगललललललगगलग,14,21,
चक्रपद,,भनननलग,गललललललललललललग,14,16,
वासन्ती (श),,मतनयगग,गगगगगलललललगगगग,14,23,
स्रक्,,ननननस,ललललललललललललललग,15,16,"6,9"
मणिगुणनिकर,,ननननस,ललललललललललललललग,15,16,"8,7"
विपिनतिलक,,नसनरर,लललललगलललगलगगलग,15,20,
चित्रा,,मममयय,गगगगगगगगगलगगलगग,15,28,
तरलि,,भसनजनर,गललललगललललगललललगलग,18,23,"11,7"
"हंसगति, कविराजविराजित",,नजजजजजजलग,ललललगललगललगललगललगललगललग,23,30,"8,6,6,3"
मङ्गलमहश्री,,भजसनभजसनगग,गलललगलललगलललगलललगलललगलललगग,26,34,"9,8,9"
महास्रग्धरा,,सततनसररग,ललगगगलगगललललललगगलगगलगग,22,33,"9,7,6"
लयविभाति,,नससनसननसनननग,लललललगललगलललललगललललललललगलललललललललग,34,39,"2,9,9,9,5"
लयग्राहि,,भजसनभजसनभय,गलललगलललगलललगलललगलललगलललगलललगग,30,39,"2,8,8,8,4"
