वृत्त,पद,लक्षण,लक्षण (raw),अक्षरसङ्ख्या,मात्रा,यति
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ८),3,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ८),4,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ९),1,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ९),2,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ९),3,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ९),4,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १०),1,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १०),2,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १०),3,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १०),4,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ११),1,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ११),2,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ११),3,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ११),4,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १२),1,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १२),2,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १२),3,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १२),4,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १३),1,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १३),2,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १३),3,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १३),4,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १४),1,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १४),2,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १४),3,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १४),4,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
